Name,Team,Pos,Age,Draft
Danilo Gallinari,ATL,SF-PF,32.9,2008 6
Facundo Campazzo,DEN,PG,30.3,2020
Kyle Kuzma,LAL,SF-PF,25.9,2017 27
Gordon Hayward,CHA,SG-SF,31.3,2010 9
Kentavious Caldwell-Pope,LAL,PG-SG,28.4,2013 8
Cameron Payne,PHX,PG-SG,26.9,2015 14
Kemba Walker,BOS,PG,31.2,2011 9
Naz Reid,MIN,C,21.9,2019 20
Pat Connaughton,MIL,SG-SF,28.5,2015 41
Jalen Brunson,DAL,PG-SG,24.8,2018 33
O.G. Anunoby,TOR,SF-PF,24.0,2017 23
Reggie Bullock,NYK,SG-SF,30.3,2013 25
Saddiq Bey,DET,SF,22.2,2020 19
Jeff Green,BKN,SF-PF-C,34.9,2007 5
Josh Richardson,DAL,SG-SF,27.8,2015 40
Daniel Theis,CHI,PF-C,29.2,2013 20
Patrick Williams,CHI,SF-PF,19.9,2020 4
Derrick Rose,NYK,PG-SG,32.7,2008 1
Derrick Favors,UTA,PF-C,30.0,2010 3
Andre Drummond,LAL,C,27.9,2012 9
Lou Williams,ATL,PG-SG,34.7,2005 45
Brandon Clarke,MEM,SF-PF,24.8,2019 21
Devonte' Graham,CHA,PG-SG,26.4,2018 34
Evan Fournier,BOS,SG-SF,28.7,2012 20
Keldon Johnson,SAS,SF-PF,21.6,2019 29
Desmond Bane,MEM,PG-SG,23.0,2020 30
Daniel Gafford,WAS,C,22.8,2019 38
Cameron Johnson,PHX,SF-PF,25.3,2019 11
Doug McDermott,IND,SF-PF,29.5,2014 11
Will Barton,DEN,SG-SF,30.5,2012 40
Shai Gilgeous-Alexander,OKC,PG-SG-SF,23.0,2018 11
Rudy Gay,SAS,SF-PF,34.9,2006 8
Tyler Herro,MIA,PG-SG-SF,21.5,2019 13
Raul Neto,WAS,PG,29.1,2013 47
Eric Bledsoe,NOR,PG-SG,31.6,2010 18
Christian Wood,HOU,PF-C,25.8,2015 20
Kelly Oubre Jr.,GSW,SG-SF-PF,25.6,2015 15
Rui Hachimura,WAS,SF-PF,23.4,2019 9
Shake Milton,PHI,PG-SG,24.8,2018 54
Kent Bazemore,GSW,SG-SF,32.0,2012 20
De'Anthony Melton,MEM,PG-SG,23.1,2018 46
Paul Millsap,DEN,PF-C,36.4,2006 47
Isaiah Roby,OKC,PF-C,23.4,2019 45
Wendell Carter Jr.,ORL,C,22.2,2018 7
Terance Mann,LAC,SF,24.7,2019 48
D'Angelo Russell,MIN,PG-SG,25.4,2015 2
Josh Jackson,DET,SG-SF,24.4,2017 4
Robin Lopez,WAS,C,33.3,2008 15
Khem Birch,TOR,PF-C,28.8,2014 20
Cory Joseph,DET,PG,29.9,2011 29
DeAndre Jordan,BKN,C,33.0,2008 35
Kenrich Williams,OKC,SF-PF,26.6,2018 20
Talen Horton-Tucker,LAL,SG-SF,20.6,2019 46
Dwight Howard,PHI,C,35.6,2004 1
Patty Mills,SAS,PG,32.9,2009 55
Davis Bertans,WAS,PF-C,28.6,2011 42
Goran Dragic,MIA,PG-SG,35.2,2008 45
Blake Griffin,BKN,PF-C,32.3,2009 1
Jusuf Nurkic,POR,C,26.9,2014 16
Jarred Vanderbilt,MIN,SF-PF-C,22.3,2018 41
Aaron Gordon,DEN,SF-PF,25.8,2014 4
Tomas Satoransky,CHI,PG-SG,29.7,2012 32
Gary Trent Jr.,TOR,SG-SF,22.5,2018 37
Tyus Jones,MEM,PG,25.2,2015 24
Lauri Markkanen,CHI,PF-C,24.1,2017 7
Grayson Allen,MEM,SG-SF,25.7,2018 21
Alec Burks,NYK,SG-SF,30.0,2011 12
Terrence Ross,ORL,SG-SF,30.4,2012 8
Marc Gasol,LAL,C,36.4,2007 48
Juan Toscano-Anderson,GSW,SF-PF,28.3,2019 20
Andre Iguodala,MIA,SG-SF,37.4,2004 9
Steven Adams,NOR,C,27.9,2013 12
John Wall,HOU,PG,30.8,2010 1
Monte Morris,DEN,PG-SG,26.0,2017 51
JaMychal Green,DEN,PF-C,31.0,2013 20
Jaden McDaniels,MIN,PF,20.8,2020 28
Immanuel Quickley,NYK,PG,22.0,2020 25
Bryn Forbes,MIL,PG-SG,27.9,2016 20
Maxi Kleber,DAL,PF-C,29.4,2014 20
Taj Gibson,NYK,PF-C,36.0,2009 26
Alex Caruso,LAL,PG-SG,27.3,2016 20
Xavier Tillman,MEM,PF-C,22.5,2020 35
Isaac Okoro,CLE,SG-SF,20.4,2020 5
Theo Maledon,OKC,PG,20.1,2020 34
Serge Ibaka,LAC,PF-C,31.8,2008 24
Josh Hart,NOR,SG-SF,26.3,2017 30
Luke Kennard,LAC,SG-SF,25.0,2017 12
Payton Pritchard,BOS,PG,23.4,2020 26
Malik Beasley,MIN,PG-SG,24.6,2016 19
Landry Shamet,BKN,PG-SG,24.3,2018 26
Alex Len,WAS,PF-C,28.1,2013 5
Jaxson Hayes,NOR,C,21.1,2019 8
Patrick Beverley,LAC,PG-SG,33.0,2009 42
Dwight Powell,DAL,PF-C,30.0,2014 45
Cedi Osman,CLE,SF-PF,26.2,2015 31
Svi Mykhailiuk,OKC,SF,24.1,2018 47
Derrick White,SAS,PG-SG,27.0,2017 29
Terence Davis,SAC,SG-SF,24.1,2019 20
Larry Nance Jr.,CLE,PF-C,28.5,2015 27
Tristan Thompson,BOS,PF-C,30.3,2011 4
Cole Anthony,ORL,PG,21.1,2020 15
Jordan Poole,GSW,PG-SG,22.0,2019 28
Garrett Temple,CHI,PG-SG,35.2,2009 20
Furkan Korkmaz,PHI,SG-SF,23.9,2016 26
Derrick Jones,POR,SG-SF,24.4,2016 20
Sterling Brown,HOU,SG-SF,26.4,2017 46
Cody Zeller,CHA,C,28.7,2013 4
Kenyon Martin Jr.,HOU,SF,20.5,2020 52
Georges Niang,UTA,SF-PF,28.0,2016 50
P.J. Tucker,MIL,PF-C,36.2,2006 35
Victor Oladipo,MIA,SG-SF,29.3,2013 2
Lonnie Walker,SAS,SG-SF,22.6,2018 18
Darius Bazley,OKC,SF-PF,21.1,2019 23
Torrey Craig,PHX,SG-SF,30.5,2014 20
Luguentz Dort,OKC,SG-SF,22.2,2019 20
Nickeil Alexander-Walker,NOR,SG-SF,22.8,2019 17
Damion Lee,GSW,SG-SF,28.7,2016 20
DeMarcus Cousins,LAC,PF-C,30.9,2010 5
Rajon Rondo,LAC,PG,35.4,2006 21
Dwayne Bacon,ORL,SG,25.8,2017 40
Dario Saric,PHX,PF-C,27.2,2014 12
Dean Wade,CLE,PG-PF-C,24.6,2019 20
Anfernee Simons,POR,PG-SG,22.1,2018 24
Bismack Biyombo,CHA,C,28.8,2011 7
Chuma Okeke,ORL,PF,22.9,2020 16
Elfrid Payton,NYK,PG,27.4,2014 10
Mo Bamba,ORL,C,23.1,2018 6
Moses Brown,OKC,C,21.7,2019 20
Jeremy Lamb,IND,SG-SF,29.1,2012 12
Tyrese Maxey,PHI,PG-SG,20.7,2020 21
Kevon Looney,GSW,PF-C,25.4,2015 30
Willie Cauley-Stein,DAL,PF-C,27.9,2015 6
Al Horford,OKC,PF-C,35.1,2007 3
D.J. Augustin,HOU,PG,33.6,2008 9
Mitchell Robinson,NYK,C,23.3,2018 36
James Johnson,NOR,PF-C,34.4,2009 16
JaVale McGee,DEN,C,33.5,2008 18
Aaron Holiday,IND,PG,24.8,2018 23
DeAndre' Bembry,TOR,SF-PF,27.0,2016 21
Drew Eubanks,SAS,PF-C,24.4,2018 20
Josh Okogie,MIN,SG-SF,22.8,2018 20
Stanley Johnson,TOR,SG-SF-PF,25.1,2015 8
Ish Smith,WAS,PG,33.0,2010 20
Hamidou Diallo,DET,SG-SF,22.9,2018 45
Solomon Hill,ATL,SG-SF,30.3,2013 23
Jeff Teague,MIL,PG-SG,33.1,2009 19
Devin Vassell,SAS,SG,20.9,2020 11
Jordan McLaughlin,MIN,PG,25.2,2018 20
Onyeka Okongwu,ATL,PF-C,20.6,2020 6
Willy Hernangomez,NOR,C,27.1,2015 35
Brad Wanamaker,CHA,PG-SG,32.0,2011 20
Taurean Prince,CLE,SF-PF,26.9,2016 12
Tony Bradley,OKC,C,23.5,2017 28
Edmond Sumner,IND,PG-SG,25.5,2017 52
Markieff Morris,LAL,PF-C,31.8,2011 13
Grant Williams,BOS,SF-PF,22.6,2019 22
Marvin Bagley III,SAC,PF-C,22.3,2018 2
Wayne Ellington,DET,SG-SF,33.6,2009 28
James Ennis,ORL,SG-SF,31.0,2013 50
Deni Avdija,WAS,SG-SF,20.5,2020 9
Denzel Valentine,CHI,SG-SF,27.6,2016 14
Nicolas Claxton,BKN,C,22.2,2019 31
Gorgui Dieng,SAS,PF-C,31.5,2013 21
Malik Monk,CHA,PG-SG,23.4,2017 11
Aleksej Pokusevski,OKC,SF,19.5,2020 17
Trevor Ariza,MIA,SG-SF,36.0,2004 43
Goga Bitadze,IND,C,22.0,2019 18
Jalen McDaniels,CHA,PF-C,23.4,2019 52
P.J. Dozier,DEN,PG-SG,24.7,2017 20
Austin Rivers,DEN,PG-SG,28.9,2012 10
Trey Burke,DAL,PG,28.6,2013 9
Malachi Flynn,TOR,PG,23.2,2020 29
Wesley Matthews,LAL,SG-SF,34.7,2009 20
De'Andre Hunter,ATL,SF-PF,23.6,2019 4
Moritz Wagner,ORL,PF-C,24.2,2018 25
Garrison Mathews,WAS,SG-SF,24.7,2019 20
James Wiseman,GSW,C,20.3,2020 2
Aron Baynes,TOR,C,34.6,2009 20
Ty Jerome,OKC,PG-SG,24.0,2019 24
George Hill,PHI,PG-SG,35.2,2008 26
LaMarcus Aldridge,FA,PF-C,36.0,2006 2
Isaiah Hartenstein,CLE,PF,23.2,2017 43
Kira Lewis,NOR,PG,20.2,2020 13
Eric Gordon,HOU,SG-SF,32.5,2008 7
Yuta Watanabe,TOR,SF-PF,26.7,2018 20
Tony Snell,ATL,SG-SF,29.7,2013 20
Kevin Porter,HOU,SG-SF,21.2,2019 30
Timothe Luwawu-Cabarrot,BKN,SG-SF,26.2,2016 24
Saben Lee,DET,PG,22.0,2020 38
Cam Reddish,ATL,SG-SF-PF,21.8,2019 10
Frank Kaminsky,PHX,C,28.2,2015 9
Oshae Brissett,IND,SF-PF,23.0,2019 20
Gary Harris,ORL,SG-SF,26.8,2014 19
Jaylen Nowell,MIN,SG,22.0,2019 43
Obi Toppin,NYK,SF-PF,23.3,2020 8
John Konchar,MEM,SG,25.3,2019 20
Cody Martin,CHA,SG-SF,25.8,2019 36
Mike Muscala,OKC,PF-C,30.0,2013 44
Jevon Carter,PHX,PG,25.8,2018 32
David Nwaba,HOU,SG-SF,28.5,2016 20
Kevin Love,CLE,PF-C,32.8,2008 5
Hassan Whiteside,SAC,PF-C,32.1,2010 33
Ben McLemore,LAL,SG-SF,28.4,2013 7
Jaren Jackson Jr.,MEM,PF-C,21.8,2018 4
Moe Harkless,SAC,SF-PF,28.1,2012 15
R.J. Hampton,ORL,PG,20.4,2020 24
Mychal Mulder,GSW,PG,27.1,2019 20
Jake Layman,MIN,SF-PF,27.3,2016 47
Danuel House,HOU,SF-PF,28.1,2016 20
Caleb Martin,CHA,SG-SF,25.8,2019 20
Frank Jackson,DET,PG,23.2,2017 31
Damian Jones,SAC,C,26.0,2016 30
Otto Porter,ORL,SF-PF,28.1,2013 3
Naji Marshall,NOR,SF,23.4,2020 20
Mike Scott,PHI,SF-PF,33.0,2012 43
Aaron Nesmith,BOS,SG-SF,21.7,2020 14
J.J. Redick,DAL,SG,37.0,2006 11
Killian Hayes,DET,PG-SG,19.9,2020 7
Nemanja Bjelica,MIA,PF,33.2,2010 35
Juan Hernangomez,MIN,PF-C,25.8,2016 15
Chasson Randle,ORL,PG,28.4,2015 20
Chimezie Metu,SAC,PF,24.3,2018 49
Eric Paschall,GSW,SF-PF-C,24.7,2019 41
Michael Carter-Williams,ORL,PG-SG,29.7,2013 11
Semi Ojeleye,BOS,SF-PF,26.6,2017 37
Precious Achiuwa,MIA,SF-PF,21.8,2020 20
Dylan Windler,CLE,SF,24.8,2020 26
Damyean Dotson,CLE,SG,27.2,2017 44
Rodney Hood,TOR,SG-SF,28.7,2014 23
Dennis Smith Jr.,DET,PG,23.6,2017 9
Gabe Vincent,MIA,PG,25.1,2018 20
Nassir Little,POR,SF,21.4,2019 25
Tyler Johnson,BKN,PG-SG,29.2,2013 20
Sekou Doumbouya,DET,SF-PF,20.5,2019 15
Thanasis Antetokounmpo,MIL,SF,29.0,2014 51
Justin Jackson,MIL,SF-PF,26.3,2017 15
Patrick Patterson,LAC,PF-C,32.3,2010 14
Javonte Green,CHI,PG,27.9,2015 20
D.J. Wilson,HOU,PF,25.4,2017 17
Armoni Brooks,HOU,PG,23.1,2019 20
Kelan Martin,IND,SF-PF,25.9,2018 20
Luke Kornet,BOS,C,26.0,2017 20
Freddie Gillespie,TOR,SF,24.1,2020 20
Dewayne Dedmon,MIA,C,31.9,2013 20
Avery Bradley,HOU,SG-SF,30.6,2010 19
